date,rb,ru,zn,pb
20170706,90,0,,
20170707,53,0,,
20170710,-192,0,,
20170711,354,0,,
20170712,-77,0,,
20170713,255,0,,
20170714,486,0,,
20170717,-473,0,,
20170718,491,0,,
20170719,-24,0,,
20170720,541,-1520,,
20170721,823,-295,,
20170724,-41,607,,
20170725,-1379,-88,,
20170726,605,533,,
20170727,-443,-992,,
20170728,-757,0,,
20170731,1851,0,,
20170801,-1711,0,,
20170802,537,0,,
20170803,1537,-648,,
20170804,-329,-479,,
20170807,1259,-4295,,
20170808,1220,871,,
20170809,-479,-730,,
20170810,331,-1060,-697,0
20170811,-2217,0,-460,0
20170814,445,0,262,0
20170815,0,0,397,0
20170816,0,0,744,0
20170817,0,0,0,0
20170818,-95,835,-356,0
20170821,-22,-656,1143,0
20170822,-401,-196,-135,-45
20170823,489,955,389,1109
20170824,-236,-356,46,284
20170825,-186,-1407,-193,-274
20170828,590,-395,1164,-423
20170829,-439,690,-813,296
20170830,-599,-1620,-809,867
20170831,710,1520,246,-978
20170901,990,-922,-27,-320
20170904,396,-579,-122,-512
20170905,-139,934,3,242
20170906,-213,2868,34,163
20170907,-132,968,-304,-104
20170908,313,68,-595,-408
20170911,-551,-1314,957,360
20170912,-412,-1957,-229,284
20170913,304,73,-11,-895
20170914,-258,1070,-261,-312
20170915,-433,2220,1214,187
20170918,-182,-2734,39,187
20170919,144,-1747,-679,-84
20170920,124,-41,-904,-300
20170921,253,3754,-409,-901
20170922,-244,-1467,-1634,-671
20170925,435,660,-229,62
20170926,-209,629,-665,-1121
20170927,-294,-1144,1203,-501
20170928,328,0,-2613,-1250
20170929,-176,376,-379,224
20171009,15,676,1064,-305
20171010,-620,-1023,413,899
20171011,183,-1123,863,474
20171012,222,877,1031,-576
20171013,-586,-2611,-553,899
20171016,-896,-3761,-1522,-762
20171017,-84,-337,110,188
20171018,-453,-1462,591,613
20171019,-245,-1025,-1134,567
201710123,-389,0,-193,84
201710124,-186,0,-386,-420
201710125,422,0,228,-349
201710126,-49,0,202,-79
20171027,113,0,-168,1013
20171030,43,0,-465,406
20171031,183,0,587,467
20171101,-166,0,-762,-54
20171102,-120,0,-634,-727
20171103,-618,0,-1565,-526